"","Country","Compartment","RQ_min","RQ_Q5","RQ_median","RQ_mean","RQ_Q95","RQ_max"
"5%21","Estonia","Freshwater",3.31849171424306e-08,6.65258681815848e-08,1.17632123564098e-07,1.80474366262797e-07,5.63338224898699e-07,1.02606604043211e-06
"5%22","Estonia","Sediment",0.000564132585128479,0.000936541848141626,0.00154378599479354,0.00238849912250231,0.00733630057384406,0.0121135610023237
"5%23","Estonia","Soil",0.00230105217991312,0.00489129656272624,0.00872179075960461,0.00839816419542463,0.0104250180820339,0.012660578797936
"5%24","Finland","Freshwater",7.42820402540423e-09,1.47467947297043e-08,2.64710483504759e-08,4.19731037194011e-08,1.35165118937891e-07,2.58172677739925e-07
"5%25","Finland","Sediment",0.000117581006029321,0.000209709760434154,0.000349445006188986,0.000559838635415376,0.00176187885319364,0.00296584720313886
"5%26","Finland","Soil",0.00139278012447025,0.00285098747669017,0.00506515594900913,0.00485075308696665,0.00588313632806695,0.00693322064247208
"5%27","France","Freshwater",2.60571262137007e-06,4.95141840074479e-06,8.68485138614508e-06,1.30556772058769e-05,3.9774685541882e-05,7.57261906353472e-05
"5%28","France","Sediment",0.0369966715982019,0.070359978690225,0.114414405082089,0.172707772904081,0.517590622682709,0.873985208575237
"5%29","France","Soil",0.00465912958974185,0.0110287651755973,0.0198250578514027,0.0191274229834581,0.0239755893970652,0.0301977853203702
"5%30","Germany","Freshwater",1.46770939620662e-06,2.6987537588952e-06,5.39468045787462e-06,9.74413430794617e-06,3.49868317964953e-05,6.36993595667509e-05
"5%31","Germany","Sediment",0.0225138190462867,0.0380344940922531,0.0721478937095461,0.129541429592359,0.451724549849891,0.738542631446907
"5%32","Germany","Soil",0.00406285549644763,0.0103944140039748,0.0196455154781887,0.019531492079049,0.0279951514027388,0.0400250996013756
"5%33","Greece","Freshwater",1.64672164141353e-07,3.40029103510033e-07,6.67609266117498e-07,1.22173175747527e-06,4.41831212862297e-06,8.16108113979007e-06
"5%34","Greece","Sediment",0.00264905999059991,0.00477581552971343,0.00888799178955858,0.0162057765148167,0.0570985885674249,0.0956455125372939
"5%35","Greece","Soil",0.00370948054629271,0.010426936140732,0.0195989757855708,0.0193860477097963,0.0272790018983696,0.0394854201095471
"5%36","Hungary","Freshwater",1.09488643029641e-06,2.12126958820964e-06,3.72219296761911e-06,5.5432896260589e-06,1.67089160934646e-05,3.16455178501552e-05
"5%37","Hungary","Sediment",0.0167831738309735,0.0300470409756457,0.0488214029525106,0.0734962789433555,0.218886233360727,0.363554258499888
"5%38","Hungary","Soil",0.00376419595296934,0.00951207920946538,0.0172399231435292,0.0166915078584855,0.0213540261041716,0.0268147866389357
"5%39","Ireland","Freshwater",3.34041713598116e-07,6.29158963349201e-07,1.01162245155423e-06,1.23708600451646e-06,2.83597038196563e-06,5.39322718117075e-06
"5%40","Ireland","Sediment",0.00551061567754267,0.00902068170998711,0.0133728207875544,0.016478054303623,0.0374302455572202,0.0628817493412095
"5%41","Ireland","Soil",0.00248595478963037,0.00553494014121917,0.0100446096932056,0.00971963244799644,0.0124022537743672,0.0157450498120219
"5%42","Italy","Freshwater",5.80878765489786e-06,1.12056412321119e-05,1.72106056880223e-05,1.8224888602137e-05,2.92643272208388e-05,4.64573478344974e-05
"5%43","Italy","Sediment",0.10248721066792,0.160993037735061,0.228372993558527,0.241879631667813,0.380976116416281,0.547141557304884
"5%44","Italy","Soil",0.00234972603181569,0.00721139906986021,0.0136820095496847,0.013659086202523,0.0198422674708727,0.030697782513866
"5%45","Japan","Freshwater",1.6782931188949e-06,3.54128706647103e-06,6.72585658723985e-06,9.78103723793225e-06,2.92603775187568e-05,5.95801307222704e-05
"5%46","Japan","Sediment",0.017083820147698,0.0304732862141608,0.0499889109796967,0.073900824348649,0.217695222316482,0.395363137343288
"5%47","Japan","Soil",0.00212604331865977,0.0063835138286589,0.0124654030353405,0.0125946680698135,0.0191335912315739,0.0314289372856109
"5%48","Latvia","Freshwater",3.71889015044978e-08,7.35375612636024e-08,1.28087948637219e-07,1.90245940002001e-07,5.74313388141831e-07,1.09310947570718e-06
"5%49","Latvia","Sediment",0.000594135427844546,0.00104206679916622,0.00168389399148276,0.00251304105058188,0.00744183602007076,0.0125185541666488
"5%50","Latvia","Soil",0.00174205737241182,0.00367548045520776,0.0065372915295259,0.00627402408836262,0.00768521891196471,0.009349822345899
"5%51","Lithuania","Freshwater",9.08269086228172e-08,1.68818652916623e-07,2.7465360066903e-07,3.65321342649348e-07,9.5490281438324e-07,1.73562268724737e-06
"5%52","Lithuania","Sediment",0.00149792141845749,0.00241890632985922,0.00360923648196929,0.00484303410662451,0.0123964272387411,0.019904353380197
"5%53","Lithuania","Soil",0.00163096359706371,0.0034175327200563,0.00611174456346986,0.00587645548153052,0.00727182303907693,0.0088983520169139
"5%54","Luxembourg","Freshwater",5.08511789017794e-07,1.0455175025839e-06,2.17439081627301e-06,3.9952040439325e-06,1.45069675789817e-05,2.67048647599773e-05
"5%55","Luxembourg","Sediment",0.00800834071552602,0.014669944254114,0.0289322871960693,0.0530591532213158,0.189416318745647,0.310532975523202
"5%56","Luxembourg","Soil",0.00687332286041696,0.014176334733224,0.0254394248232223,0.0243964591181781,0.0299219860681851,0.0359236152844956
"5%57","Malta","Freshwater",4.64657129305094e-06,1.02147018485907e-05,2.29561482735506e-05,4.64303699509944e-05,0.000180586006456942,0.000345445030405567
"5%58","Malta","Sediment",0.0757351582603768,0.142181500632351,0.306945558423743,0.617981874117093,2.34639902930507,4.02293789889479
"5%59","Malta","Soil",Inf,Inf,Inf,Inf,Inf,Inf
"5%60","Mexico","Freshwater",4.68264840865749e-06,9.66106740322783e-06,1.64991351961296e-05,1.76206642844412e-05,2.99849120430221e-05,5.25253321819476e-05
"5%61","Mexico","Sediment",0.0913071224660594,0.152861713022323,0.221984612912006,0.237858907582201,0.390251133886186,0.584140566791834
"5%62","Mexico","Soil",0.0313379262501988,0.10690721200189,0.210137039276435,0.214662527271398,0.337254178256674,0.632057489921209
"5%63","Netherlands","Freshwater",2.83044578837046e-07,6.28313203906245e-07,1.40534000320103e-06,2.79538333801129e-06,1.07257842695029e-05,1.96656066253882e-05
"5%64","Netherlands","Sediment",0.00485339716524568,0.00881066042295669,0.0187669280746978,0.0370325697097316,0.138591785795285,0.229684028478578
"5%65","Netherlands","Soil",0.00187226455974629,0.00695542975372225,0.0139414572646957,0.0144931218465973,0.023875216115068,0.0450051445159823
